ID,Team1,Team2
598014,RR,KXIP
598011,MI,PW
598012,CSK,RCB
598010,DD,SRH
598008,RCB,KKR
598009,PW,RR
598007,KXIP,CSK
598006,MI,DD
598048,RCB,SRH
598005,RR,KKR
598003,PW,KXIP
598004,SRH,RCB
598001,DD,RR
598002,CSK,MI
598000,SRH,PW
597999,RCB,MI
597998,KKR,DD
548381,KKR,CSK
548380,DD,CSK
548379,CSK,MI
548378,DD,KKR
548376,DC,RCB
548377,RR,MI
548374,KXIP,DD
548375,PW,KKR
548373,DC,RR
548371,KXIP,CSK
548372,DD,RCB
548370,MI,KKR
548369,DD,KXIP
548367,RCB,MI
548368,KKR,CSK
548365,RR,PW
548366,KXIP,DC
548363,KKR,MI
548364,CSK,DD
548362,PW,RCB
548329,DC,DD
548361,RR,CSK
548360,MI,RCB
548358,PW,RR
548359,DC,KXIP
548357,DD,KKR
548355,MI,CSK
548356,RCB,DC
548353,KKR,PW
548354,KXIP,RR
548352,CSK,DC
548351,PW,MI
548350,RCB,KXIP
548348,DC,PW
548349,RR,DD
548347,CSK,KKR
548345,DD,RR
548346,MI,DC
548343,CSK,KXIP
548344,KKR,RCB
548342,DD,MI
548341,PW,DC
548339,KXIP,MI
548337,PW,DD
548336,RR,RCB
548334,MI,KXIP
548335,DC,KKR
548332,CSK,RR
548333,DD,PW
548331,KXIP,RCB
548321,DD,DC
548330,CSK,PW
548328,KXIP,KKR
548326,RR,DC
548327,RCB,PW
548325,MI,DD
548323,KKR,KXIP
548324,RCB,RR
548322,PW,CSK
548320,KKR,RR
548318,CSK,RCB
548319,KXIP,PW
548317,MI,RR
548315,RCB,KKR
548316,DD,CSK
548314,DC,MI
548312,RR,KKR
548313,PW,KXIP
548310,RCB,DD
548311,DC,CSK
548308,MI,PW
548309,RR,KXIP
548307,KKR,DD
548306,CSK,MI
501271,CSK,RCB
501270,RCB,MI
501269,MI,KKR
501268,RCB,CSK
501266,RCB,CSK
501267,KKR,MI
501264,KXIP,DC
501265,DD,PW
501263,MI,RR
501262,PW,KKR
501261,CSK,KTK
501260,KXIP,RCB
501259,PW,DC
501257,KXIP,DD
501258,KTK,RR
501255,RCB,KKR
501256,MI,DC
501254,KTK,KXIP
